/Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/boto3/compat.py:82: PythonDeprecationWarning: Boto3 will no longer support Python 3.7 starting December 13, 2023. To continue receiving service updates, bug fixes, and security updates please upgrade to Python 3.8 or later. More information can be found here: https://aws.amazon.com/blogs/developer/python-support-policy-updates-for-aws-sdks-and-tools/
  warnings.warn(warning, PythonDeprecationWarning)
setup: run_id=auth_readers_nonreturner_fast_20260517T204411Z sites=5 prefix=s3://drawtoon/datasets/pages/single download=True chapter_workers=32 image_workers=4
discover: site=solo series=solo-leveling_manwa chapters=213
discover: site=sss series=sss-class-suicide-hunter_manwa chapters=148
discover: site=second series=second-life-ranker_manwa chapters=224
discover: site=great series=the-great-mage-returns-after-4000-years_manwa chapters=257
discover: site=lout series=lout-of-counts-family_manwa chapters=175
manifest: path=artifacts/separata_manwa/manifests/auth_readers_nonreturner_fast_20260517T204411Z_chapters.jsonl chapters=1017
progress: chapters=34/1017 accessible=34 no_images=0 images=1012 written=14 skipped=998 failures=0 chapter_rate=0.71/s eta=23.2m
progress: chapters=35/1017 accessible=35 no_images=0 images=1039 written=26 skipped=1013 failures=0 chapter_rate=0.38/s eta=42.7m
progress: chapters=37/1017 accessible=37 no_images=0 images=1103 written=54 skipped=1049 failures=0 chapter_rate=0.30/s eta=54.5m
progress: chapters=38/1017 accessible=38 no_images=0 images=1129 written=71 skipped=1058 failures=0 chapter_rate=0.23/s eta=70.6m
progress: chapters=40/1017 accessible=40 no_images=0 images=1176 written=113 skipped=1063 failures=0 chapter_rate=0.19/s eta=87.0m
progress: chapters=44/1017 accessible=44 no_images=0 images=1284 written=207 skipped=1077 failures=0 chapter_rate=0.18/s eta=90.0m
progress: chapters=50/1017 accessible=50 no_images=0 images=1456 written=366 skipped=1090 failures=0 chapter_rate=0.18/s eta=91.4m
progress: chapters=53/1017 accessible=53 no_images=0 images=1541 written=451 skipped=1090 failures=0 chapter_rate=0.15/s eta=104.4m
progress: chapters=57/1017 accessible=57 no_images=0 images=1663 written=573 skipped=1090 failures=0 chapter_rate=0.15/s eta=105.1m
progress: chapters=64/1017 accessible=64 no_images=0 images=1910 written=820 skipped=1090 failures=0 chapter_rate=0.16/s eta=101.4m
progress: chapters=65/1017 accessible=65 no_images=0 images=1943 written=853 skipped=1090 failures=0 chapter_rate=0.14/s eta=114.1m
progress: chapters=69/1017 accessible=69 no_images=0 images=2093 written=1003 skipped=1090 failures=0 chapter_rate=0.13/s eta=117.5m
