series_slug,series_name,episode_no,episode_slug,label,input_images,kept_images,dropped_images,dropout_rate,dominant_width,story_start_position,story_end_position,chronology_bin,url
eleceed,Eleceed,5,episode-000005-episode-5,"Episode 5 May 20, 2019 like 159,170 #5",734,263,471,0.6416893732970027,700,19,716,0,https://www.webtoons.com/en/action/eleceed/episode-5/viewer?title_no=1571&episode_no=5
eleceed,Eleceed,7,episode-000007-episode-7,"Episode 7 Jun 3, 2019 like 157,348 #7",679,229,450,0.6627393225331369,700,19,658,0,https://www.webtoons.com/en/action/eleceed/episode-7/viewer?title_no=1571&episode_no=7
eleceed,Eleceed,10,episode-000010-episode-10,"Episode 10 Jun 24, 2019 like 145,455 #10",485,126,359,0.7402061855670103,160,44,194,0,https://www.webtoons.com/en/action/eleceed/episode-10/viewer?title_no=1571&episode_no=10
eleceed,Eleceed,53,episode-000053-episode-53,"Episode 53 Apr 20, 2020 like 139,354 #53",613,183,430,0.7014681892332789,700,19,596,1,https://www.webtoons.com/en/action/eleceed/episode-53/viewer?title_no=1571&episode_no=53
eleceed,Eleceed,96,episode-000096-episode-96,"Episode 96 Feb 15, 2021 like 169,484 #96",663,231,432,0.6515837104072398,700,19,644,2,https://www.webtoons.com/en/action/eleceed/episode-96/viewer?title_no=1571&episode_no=96
eleceed,Eleceed,110,episode-000110-episode-110,"Episode 110 May 24, 2021 like 145,482 #110",634,203,431,0.6798107255520505,700,19,616,2,https://www.webtoons.com/en/action/eleceed/episode-110/viewer?title_no=1571&episode_no=110
eleceed,Eleceed,119,episode-000119-episode-119,"Episode 119 Jul 26, 2021 like 130,903 #119",653,223,430,0.6584992343032159,700,19,636,3,https://www.webtoons.com/en/action/eleceed/episode-119/viewer?title_no=1571&episode_no=119
eleceed,Eleceed,120,episode-000120-episode-120,"Episode 120 Aug 2, 2021 like 142,984 #120",643,213,430,0.6687402799377916,700,19,626,3,https://www.webtoons.com/en/action/eleceed/episode-120/viewer?title_no=1571&episode_no=120
eleceed,Eleceed,126,episode-000126-episode-126,"Episode 126 Sep 13, 2021 like 126,999 #126",643,213,430,0.6687402799377916,700,19,626,3,https://www.webtoons.com/en/action/eleceed/episode-126/viewer?title_no=1571&episode_no=126
eleceed,Eleceed,127,episode-000127-episode-127,"Episode 127 Sep 20, 2021 like 134,822 #127",663,231,432,0.6515837104072398,700,19,644,3,https://www.webtoons.com/en/action/eleceed/episode-127/viewer?title_no=1571&episode_no=127
