series_slug,series_name,episode_no,episode_slug,label,input_images,kept_images,dropped_images,dropout_rate,dominant_width,story_start_position,story_end_position,chronology_bin,url
eleceed,Eleceed,5,episode-000005-episode-5,"Episode 5 May 20, 2019 like 159,170 #5",734,263,471,0.6416893732970027,700,19,716,0,https://www.webtoons.com/en/action/eleceed/episode-5/viewer?title_no=1571&episode_no=5
eleceed,Eleceed,32,episode-000032-episode-32,"Episode 32 Nov 25, 2019 like 140,536 #32",602,169,433,0.7192691029900332,700,19,583,0,https://www.webtoons.com/en/action/eleceed/episode-32/viewer?title_no=1571&episode_no=32
eleceed,Eleceed,46,episode-000046-episode-46,"Episode 46 Mar 2, 2020 like 149,406 #46",554,121,433,0.7815884476534296,700,19,535,1,https://www.webtoons.com/en/action/eleceed/episode-46/viewer?title_no=1571&episode_no=46
eleceed,Eleceed,52,episode-000052-episode-52,"Episode 52 Apr 13, 2020 like 148,709 #52",597,167,430,0.7202680067001676,700,19,580,1,https://www.webtoons.com/en/action/eleceed/episode-52/viewer?title_no=1571&episode_no=52
eleceed,Eleceed,56,episode-000056-episode-56,"Episode 56 May 11, 2020 like 144,227 #56",576,145,431,0.7482638888888888,700,19,558,1,https://www.webtoons.com/en/action/eleceed/episode-56/viewer?title_no=1571&episode_no=56
eleceed,Eleceed,59,episode-000059-episode-59,"Episode 59 Jun 1, 2020 like 144,631 #59",573,143,430,0.7504363001745201,700,19,556,1,https://www.webtoons.com/en/action/eleceed/episode-59/viewer?title_no=1571&episode_no=59
eleceed,Eleceed,66,episode-000066-episode-66,"Episode 66 Jul 20, 2020 like 153,948 #66",576,145,431,0.7482638888888888,700,19,558,1,https://www.webtoons.com/en/action/eleceed/episode-66/viewer?title_no=1571&episode_no=66
eleceed,Eleceed,70,episode-000070-episode-70,"Episode 70 Aug 17, 2020 like 149,313 #70",585,155,430,0.7350427350427351,700,19,568,1,https://www.webtoons.com/en/action/eleceed/episode-70/viewer?title_no=1571&episode_no=70
eleceed,Eleceed,71,episode-000071-episode-71,"Episode 71 Aug 24, 2020 like 148,421 #71",581,149,432,0.7435456110154905,700,19,562,1,https://www.webtoons.com/en/action/eleceed/episode-71/viewer?title_no=1571&episode_no=71
eleceed,Eleceed,101,episode-000101-episode-101,"Episode 101 Mar 22, 2021 like 143,307 #101",611,179,432,0.707037643207856,700,19,592,2,https://www.webtoons.com/en/action/eleceed/episode-101/viewer?title_no=1571&episode_no=101
eleceed,Eleceed,102,episode-000102-episode-102,"Episode 102 Mar 29, 2021 like 144,062 #102",618,185,433,0.7006472491909385,700,19,599,2,https://www.webtoons.com/en/action/eleceed/episode-102/viewer?title_no=1571&episode_no=102
eleceed,Eleceed,110,episode-000110-episode-110,"Episode 110 May 24, 2021 like 145,482 #110",634,203,431,0.6798107255520505,700,19,616,2,https://www.webtoons.com/en/action/eleceed/episode-110/viewer?title_no=1571&episode_no=110
eleceed,Eleceed,141,episode-000141-episode-141,"Episode 141 Dec 27, 2021 like 131,048 #141",623,191,432,0.6934189406099518,700,19,604,3,https://www.webtoons.com/en/action/eleceed/episode-141/viewer?title_no=1571&episode_no=141
eleceed,Eleceed,146,episode-000146-episode-146,"Episode 146 Jan 31, 2022 like 114,878 #146",607,175,432,0.7116968698517299,700,19,588,3,https://www.webtoons.com/en/action/eleceed/episode-146/viewer?title_no=1571&episode_no=146
eleceed,Eleceed,149,episode-000149-episode-149,"Episode 149 Feb 21, 2022 like 119,914 #149",630,199,431,0.6841269841269841,700,19,612,3,https://www.webtoons.com/en/action/eleceed/episode-149/viewer?title_no=1571&episode_no=149
eleceed,Eleceed,154,episode-000154-episode-154,"Episode 154 Mar 28, 2022 like 138,708 #154",276,129,147,0.532608695652174,700,1,134,3,https://www.webtoons.com/en/action/eleceed/episode-154/viewer?title_no=1571&episode_no=154
eleceed,Eleceed,162,episode-000162-episode-162,"Episode 162 May 23, 2022 like 118,120 #162",245,126,119,0.4857142857142857,160,93,231,4,https://www.webtoons.com/en/action/eleceed/episode-162/viewer?title_no=1571&episode_no=162
eleceed,Eleceed,170,episode-000170-episode-170,"Episode 170 Jul 18, 2022 like 108,253 #170",247,126,121,0.4898785425101215,160,96,234,4,https://www.webtoons.com/en/action/eleceed/episode-170/viewer?title_no=1571&episode_no=170
eleceed,Eleceed,178,episode-000178-episode-178,"Episode 178 Sep 12, 2022 like 107,562 #178",229,126,103,0.4497816593886463,160,78,216,4,https://www.webtoons.com/en/action/eleceed/episode-178/viewer?title_no=1571&episode_no=178
eleceed,Eleceed,194,episode-000194-episode-194,"Episode 194 Jan 2, 2023 like 96,804 #194",247,126,121,0.4898785425101215,160,96,234,5,https://www.webtoons.com/en/action/eleceed/episode-194/viewer?title_no=1571&episode_no=194
