series_slug,series_name,episode_no,episode_slug,label,input_images,kept_images,dropped_images,dropout_rate,dominant_width,story_start_position,story_end_position,chronology_bin,url
tower-of-god,Tower of God,2,episode-000002-season-1-ep-1-1fheadons-floor,"[Season 1] Ep. 1 - 1F.Headon's Floor Jun 30, 2014 like 207,151 #2",837,465,372,0.4444444444444444,160,48,641,0,https://www.webtoons.com/en/fantasy/tower-of-god/season-1-ep-1-1fheadons-floor/viewer?title_no=95&episode_no=2
tower-of-god,Tower of God,86,episode-000086-season-2-ep-6,"[Season 2] Ep. 6 Jun 30, 2014 like 110,491 #86",810,480,330,0.4074074074074074,160,28,637,1,https://www.webtoons.com/en/fantasy/tower-of-god/season-2-ep-6/viewer?title_no=95&episode_no=86
tower-of-god,Tower of God,102,episode-000102-season-2-ep-22,"[Season 2] Ep. 22 Jun 30, 2014 like 111,133 #102",839,461,378,0.4505363528009535,160,53,642,1,https://www.webtoons.com/en/fantasy/tower-of-god/season-2-ep-22/viewer?title_no=95&episode_no=102
tower-of-god,Tower of God,186,episode-000186-season-2-ep-106,"[Season 2] Ep. 106 Jun 30, 2014 like 98,913 #186",818,474,344,0.42053789731051344,160,34,636,2,https://www.webtoons.com/en/fantasy/tower-of-god/season-2-ep-106/viewer?title_no=95&episode_no=186
tower-of-god,Tower of God,216,episode-000216-season-2-ep-136,"[Season 2] Ep. 136 Feb 1, 2015 like 87,427 #216",830,466,364,0.43855421686746987,160,44,639,3,https://www.webtoons.com/en/fantasy/tower-of-god/season-2-ep-136/viewer?title_no=95&episode_no=216
tower-of-god,Tower of God,230,episode-000230-season-2-ep-149,"[Season 2] Ep. 149 May 3, 2015 like 86,489 #229",836,464,372,0.4449760765550239,160,48,641,3,https://www.webtoons.com/en/fantasy/tower-of-god/season-2-ep-149/viewer?title_no=95&episode_no=230
tower-of-god,Tower of God,252,episode-000252-season-2-ep-171,"[Season 2] Ep. 171 Oct 12, 2015 like 84,961 #251",834,465,369,0.44244604316546765,160,47,640,3,https://www.webtoons.com/en/fantasy/tower-of-god/season-2-ep-171/viewer?title_no=95&episode_no=252
tower-of-god,Tower of God,282,episode-000282-season-2-ep-201,"[Season 2] Ep. 201 Jun 6, 2016 like 82,802 #281",896,428,468,0.5223214285714286,160,98,637,4,https://www.webtoons.com/en/fantasy/tower-of-god/season-2-ep-201/viewer?title_no=95&episode_no=282
tower-of-god,Tower of God,312,episode-000312-season-2-ep-231,"[Season 2] Ep. 231 Jan 2, 2017 like 82,738 #311",907,425,482,0.5314222712238148,160,108,644,4,https://www.webtoons.com/en/fantasy/tower-of-god/season-2-ep-231/viewer?title_no=95&episode_no=312
tower-of-god,Tower of God,332,episode-000332-season-2-ep-251,"[Season 2] Ep. 251 May 22, 2017 like 84,732 #331",946,408,538,0.5687103594080338,160,125,644,5,https://www.webtoons.com/en/fantasy/tower-of-god/season-2-ep-251/viewer?title_no=95&episode_no=332
tower-of-god,Tower of God,626,episode-000626-season-3-ep-208,"[Season 3] Ep. 208 Aug 18, 2024 like 39,634 #625",1138,464,674,0.5922671353251318,700,1,1138,9,https://www.webtoons.com/en/fantasy/tower-of-god/season-3-ep-208/viewer?title_no=95&episode_no=626
