series_slug,series_name,episode_no,episode_slug,source_key,dest_key,size
tower-of-god,Tower of God,186,episode-000186-season-2-ep-106,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000186-season-2-ep-106/page-0431.jpg,datasets/pages/single/tower-of-god_manwa/episode-000186-season-2-ep-106__page-0431.jpg,47099
tower-of-god,Tower of God,102,episode-000102-season-2-ep-22,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000102-season-2-ep-22/page-0121.jpg,datasets/pages/single/tower-of-god_manwa/episode-000102-season-2-ep-22__page-0121.jpg,52984
tower-of-god,Tower of God,186,episode-000186-season-2-ep-106,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000186-season-2-ep-106/page-0069.jpg,datasets/pages/single/tower-of-god_manwa/episode-000186-season-2-ep-106__page-0069.jpg,64603
tower-of-god,Tower of God,102,episode-000102-season-2-ep-22,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000102-season-2-ep-22/page-0503.jpg,datasets/pages/single/tower-of-god_manwa/episode-000102-season-2-ep-22__page-0503.jpg,55273
tower-of-god,Tower of God,102,episode-000102-season-2-ep-22,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000102-season-2-ep-22/page-0346.jpg,datasets/pages/single/tower-of-god_manwa/episode-000102-season-2-ep-22__page-0346.jpg,4481
tower-of-god,Tower of God,186,episode-000186-season-2-ep-106,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000186-season-2-ep-106/page-0430.jpg,datasets/pages/single/tower-of-god_manwa/episode-000186-season-2-ep-106__page-0430.jpg,58028
tower-of-god,Tower of God,102,episode-000102-season-2-ep-22,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000102-season-2-ep-22/page-0424.jpg,datasets/pages/single/tower-of-god_manwa/episode-000102-season-2-ep-22__page-0424.jpg,60385
tower-of-god,Tower of God,102,episode-000102-season-2-ep-22,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000102-season-2-ep-22/page-0322.jpg,datasets/pages/single/tower-of-god_manwa/episode-000102-season-2-ep-22__page-0322.jpg,40049
tower-of-god,Tower of God,102,episode-000102-season-2-ep-22,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000102-season-2-ep-22/page-0120.jpg,datasets/pages/single/tower-of-god_manwa/episode-000102-season-2-ep-22__page-0120.jpg,59783
tower-of-god,Tower of God,86,episode-000086-season-2-ep-6,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000086-season-2-ep-6/page-0143.jpg,datasets/pages/single/tower-of-god_manwa/episode-000086-season-2-ep-6__page-0143.jpg,55784
tower-of-god,Tower of God,2,episode-000002-season-1-ep-1-1fheadons-floor,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000002-season-1-ep-1-1fheadons-floor/page-0461.jpg,datasets/pages/single/tower-of-god_manwa/episode-000002-season-1-ep-1-1fheadons-floor__page-0461.jpg,46247
tower-of-god,Tower of God,102,episode-000102-season-2-ep-22,datasets/pages/source/webtoon_cleaned_dim_v2/tower-of-god/episode-000102-season-2-ep-22/page-0192.jpg,datasets/pages/single/tower-of-god_manwa/episode-000102-season-2-ep-22__page-0192.jpg,42818
